Column1;Column2;Column3;Column4;Column5;Column6;Column7; Column8 ;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31
continent;sub contient;country;Predom. Religion;SOGI-LI;DEMOC.;HAPPINESS; Per capita GDP ;% with tertiary educ.;GRI;Religiosity;SHI;legality of sam-sex sexual-activity;marriage/ civil unions;same-sex coupleadoptions;serving in the military;antidiscrimination laws; gender ID markers;Democracy Status;electoral process and pluralism;funct. Of gov;polit. Particpation;political culture;civil liberties;Satisfaction with GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
africa;4. W.Africa;Mali;M;2,22;5,41;4,447;$901,40 ;0,78;1,2;95%;5,1;1;0,33;0;0;0;0;H;7,42;3,93;3,89;;;;;;;;
asia;11. S. Asia;Maldives;M;0,97;;;$10.223,64 ;0,25;8,2;;2,6;0,25;0,33;0;0;0;0;;;;;4,38;7,35;0,835;1,522;0,615;0,541;0,162;0,074
asia;10. SE. Asia;Malaysia;M;2,64;6,88;6,322;$11.238,96 ;5,81;8,3;96%;4,5;0,25;0,33;0;0;0;1;F;7,75;7,86;6,67;4,38;5;0,53;1,416;0,594;0,54;0,281;0,035
africa;6. S.Africa;Malawi;C;0,97;5,49;3,587;$389,40 ;0,15;2,1;99%;1,5;0,25;0,33;0;0;0;0;H;6,58;4,29;4,44;5;3,53;0,198;0,902;0,173;0,531;0,206;0,158
asia;Ind. Ocea;Madagascar;C;2,22;5,22;3,774;$460,75 ;;;93%;;1;0,33;0;0;0;0;H;6,08;3,57;6,11;4,38;6,47;0,781;1,268;0,608;0,604;0,179;0,071
asia;12. E. Asia;Macau;I;2,22;;;$86.355,41 ;10,43;1;;0;1;0,33;0;0;0;0;;;;;6,25;5,29;;;;;;
europe;21. W. Europe;Luxembourg;C;8,33;8,81;6,91;$114.340,50 ;18,54;2,5;39%;0,8;1;1;1;0,5;1;0,5;D;10;8,93;6,67;;;;;;;;
europe;20. N. Europe;Lithuania;C;5;7,5;5,952;$19.089,71 ;15,6;2,5;42%;0,6;1;0;0;0,5;1;0,5;F;9,58;6,43;6,11;;;;;;;;
africa;3. N.Africa;Libya;M;0,56;2,19;5,566;$7.235,03 ;11,89;4,1;;7,1;0;0,33;0;0;0;0;A;1;0,36;1,67;5,63;6,76;0,472;1,215;0,079;0,423;0,116;0,112
africa;4. W.Africa;Liberia;C;0,97;5,35;3,495;$674,21 ;1,9;2,6;94%;3,1;0,25;0,33;0;0;0;0;H;7,42;2,57;5,56;5,63;7,94;0,874;1,281;0,365;0,519;0,051;0,064
africa;6. S.Africa;Lesotho;C;2,64;6,64;3,808;$1.324,28 ;0,76;0,7;;1;1;0,33;0;0;0;0,25;F;9,17;5;6,67;6,25;5,88;1,161;1,258;0,669;0,356;0,311;0,059
asia;8. W. Asia;Lebanon;M;1,81;4,63;5,358;$8.269,79 ;;3,5;87%;5,2;0,25;0,33;0;0;0;0,5;H;3,92;2,21;6,67;6,25;7,35;1,529;1,451;1,008;0,631;0,261;0,457
europe;20. N. Europe;Latvia;x;5,33;7,38;5,933;$18.088,93 ;12,42;2,6;39%;1,2;1;0;0,5;0,5;0,2;1;F;9,58;6,07;5,56;6,25;6,18;0,918;1,314;0,672;0,585;0,307;0,05
asia;10. SE. Asia;Laos;B;2,22;2,37;4,623;$2.567,54 ;3,3;6,9;97%;2,4;1;0,33;0;0;0;0;A;0,83;2,86;1,67;;;;;;;;
asia;9. C. Asia;Kyrgyzstan;M;2,5;5,11;5,131;$1.281,36 ;9;5,7;72%;4;1;0;0;0;0;0,5;H;6,58;2,93;6,67;4,38;3,53;0,996;1,469;0,657;0,133;0,056;0,052
asia;8. W. Asia;Kuwait;M;0,97;3,85;6,083;$34.243,95 ;4,28;6,1;91%;1,9;0,25;0,33;0;0;0;0;A;3,17;4,29;3,89;5,63;2,35;1,039;1,498;0,7;0,307;0,101;0,154
oceana;micronesia;Kiribati;C;2,64;;;$1.625,29 ;;0,9;;1,2;0,25;0,33;0;0;1;0;;;;;6,25;0,88;0,474;1,166;0,598;0,292;0,187;0,034
africa;1. SE.Africa;Kenya;C;0,42;5,11;4,41;$1.710,51 ;3,4;3,3;94%;6,5;0,25;0;0;0;0;0;H;3,5;5,36;6,67;6,25;5,88;0,315;0,714;0,289;0,025;0,392;0,104
asia;13. Eurasia;Kazakhstan;M;3,06;2,94;5,79;$9.331,05 ;14,03;7,1;43%;0,8;1;0,33;0;0;0;0,5;A;0,5;2,14;4,44;;;;;;;;
asia;8. W. Asia;Jordan;M;4,17;3,93;5,161;$4.247,77 ;3,8;5,3;96%;3,4;1;0,5;0;0;0;1;A;3,58;4,29;3,89;7,5;8,24;1,266;1,204;0,955;0,244;0,175;0,051
asia;12. E. Asia;Japan;N;5,83;7,99;5,915;$39.286,74 ;18,91;0,2;24%;0,4;1;0,5;1;0,5;0;0,5;F;8,75;8,21;6,67;5;2,35;1,148;1,38;0,686;0,324;0,106;0,109
america;7. Caribbean;Jamaica;C;0,83;7,02;5,89;$5.355,58 ;8,37;1,4;70%;0,4;0,5;0;0;0;0;0;F;8,75;7,14;4,44;2,5;4,71;0,652;0,81;0,424;0,334;0,216;0,113
europe;18. S. Europe;Italy;C;7,78;7,71;6;$34.318,35 ;6,84;2,9;72%;5;1;0,67;0,5;1;1;0,5;F;9,58;6,07;7,78;6,25;1,47;0,989;1,142;0,799;0,597;0,029;0,103
asia;8. W. Asia;Israel J;J;9,17;7,79;7,19;$41.614,00 ;20,26;3,9;51%;7,8;1;0,5;1;1;1;1;F;9,17;7,5;8,89;4,38;3,24;1,143;1,516;0,631;0,454;0,148;0,121
europe;21. W. Europe;Ireland;C;9,33;9,15;6,977;$77.449,72 ;26,8;1;54%;1,2;1;1;1;1;0,6;1;D;9,58;7,86;8,33;5;7,65;;;;;;
asia;8. W. Asia;Iraq;M;2,22;4,06;4,456;$5.878,04 ;8,77;6,4;84%;8,8;1;0,33;0;0;0;0;H;4,75;0,07;6,67;5,63;4,12;0,668;1,319;0,7;0,527;0,208;0,128
asia;8. W. Asia;Iran;M;1,39;2,45;4,707;;14,66;8,4;73%;2,6;0;0,33;0;0;0;0,5;A;0;3,21;4,44;7,5;9,12;1,017;1,174;0,417;0,557;0,042;0,092
asia;10. SE. Asia;Indonesia;M;2,22;6,39;5,093;$3.893,60 ;3,73;7,9;99%;5,9;0,5;0,33;0;0;0;0,5;F;6,92;7,14;6,67;5;2,94;0,73;1,125;0,269;0;0,079;0,061
asia;11. S. Asia;India h;H;4,72;7,23;4,19;$2.015,59 ;4,85;5,4;90%;9,5;1;0,33;0;0;1;0,5;F;9,17;6,79;7,22;;;0,807;1,101;0,474;0,593;0,183;0,089
europe;20. N. Europe;Iceland;C;8,33;9,58;7,495;$73.191,12 ;17,89;3,7;;0,1;1;1;1;0;1;1;D;10;9,29;8,89;4,38;5,59;0,853;0,592;0,643;0,375;0,038;0,215
europe;19. C. Europe;Hungary;C;5,78;6,63;5,62;$15.938,84 ;15,38;3,3;39%;3,7;1;0,67;0;0,5;0,8;0,5;F;8,75;6,07;5;4,38;7,65;1,176;1,448;0,781;0,546;0,108;0,064
asia;12. E. Asia;Hong Kong;N;4,5;6,15;5,43;$48.717,29 ;15,22;1,8;24%;0,3;1;0,5;0,5;0;0,2;0,5;F;3,08;6,07;5,56;4,38;7,06;0,657;1,301;0,62;0,232;0,171;0
america;14. C. America;Honduras;C;4;5,63;5,504;$2.482,73 ;1,93;3,3;84%;1,4;1;0;0;0;0,4;1;H;8,5;4,64;4,44;6,25;6,18;0,793;1,413;0,609;0,163;0,187;0,011
america;7. Caribbean;Haiti;C;3,06;4,91;3,582;$868,28 ;0,67;2,7;75%;1,9;1;0,33;0;0,5;0;0;H;5,58;2,93;3,89;5;7,94;1,112;1,438;0,759;0,597;0,125;0,063
america;15. S. America;Guyana;C;1;6,67;;$4.634,68 ;0,24;2,5;;0;;0;0;0,5;0;0;F;9,17;5,71;6,11;;;;;;;;
africa;4. W.Africa;Guinea-Bissau;x;0,67;1,98;;$777,97 ;;0,4;;0,8;;0,33;0;0;0;0;A;1,67;0;2,78;3,89;5,63;0,715;1,365;0,702;0,618;0,177;0,079
africa;4. W.Africa;Guinea;M;0,97;3,14;3,964;$885,25 ;;2,5;97%;3,9;0,25;0,33;0;0;0;0;A;3,5;0,43;4,44;5,63;5,59;;;;;;
america;14. C. America;Guatemala;C;2,56;5,6;6,382;$4.549,01 ;0;2,2;88%;0,4;1;0,33;0;0;0,2;0;H;7,92;5,36;3,89;;;;;;;;
